post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,230,29,WerWolv,2026-04-09 10:16:13.311565,0.12554112554112554,True
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,296,306,chabons,2026-04-09 10:16:17.935983,1.0303030303030303,True
47699086,App Store sees 84% surge in new apps as AI coding tools take off,technology,24,14,gardaani,2026-04-09 10:16:19.098282,0.56,False
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,16,3,meribold,2026-04-09 10:16:20.327774,0.17647058823529413,False
47687273,Git commands I run before reading any code,technology,1887,402,grepsedawk,2026-04-09 10:16:21.519737,0.2129237288135593,True
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,273,49,chrsw,2026-04-09 10:16:26.588071,0.17883211678832117,True
47696035,John Deere to pay $99M in right-to-repair settlement,technology,229,60,CharlesW,2026-04-09 10:16:32.804649,0.2608695652173913,True
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under 2,technology,193,179,bundie,2026-04-09 10:16:34.950959,0.9226804123711341,False
47696562,Show HN: Is Hormuz open yet?,entertainment,310,135,anonfunction,2026-04-09 10:16:36.027180,0.4340836012861736,True
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,100,125,latchkey,2026-04-09 10:16:37.075396,1.2376237623762376,False
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,technology,311,149,nickvec,2026-04-09 10:16:39.597487,0.4775641025641026,True
47689237,US cities are axing Flock Safety surveillance technology,technology,667,389,giuliomagnifico,2026-04-09 10:16:40.825340,0.5823353293413174,True
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,88,38,DamnInteresting,2026-04-09 10:16:43.075969,0.42696629213483145,False
47689319,Show HN: Skrun – Deploy any agent skill as an API,technology,49,9,frizull,2026-04-09 10:16:47.471535,0.18,False
47674606,Show HN: Unicode Steganography,technology,48,14,PatrickVuscan,2026-04-09 10:16:49.529101,0.2857142857142857,False
47656518,Your File System Is Already A Graph Database,technology,166,72,alxndr,2026-04-09 10:16:51.420375,0.4311377245508982,False
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,56,7,rvitorper,2026-04-09 10:16:53.378105,0.12280701754385964,False
47692661,Show HN: TUI-use: Let AI agents control interactive terminal programs,technology,38,35,dreamsome,2026-04-09 10:16:56.314979,0.8974358974358975,False
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,46,21,vkatluri,2026-04-09 10:16:58.281486,0.44680851063829785,False
